,Marcucci,LSC07,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM924018,1,1,0,1,1,0,1,0
GSM924019,0,0,0,0,1,0,0,1
GSM924020,1,0,0,0,1,0,0,0
GSM924021,1,0,1,0,1,0,0,1
GSM924022,1,0,0,1,1,0,1,1
GSM924023,1,0,1,0,1,0,0,1
GSM924024,1,1,0,0,1,0,0,0
GSM924025,1,1,1,0,1,0,0,0
GSM924026,0,1,0,0,1,0,0,0
GSM924027,1,0,1,1,1,0,1,1
GSM924028,0,1,0,0,1,0,1,0
GSM924029,0,0,0,0,1,0,0,0
GSM924030,0,1,0,0,1,0,0,0
GSM924031,0,1,1,0,1,0,0,0
GSM924032,1,1,1,0,1,0,1,1
GSM924033,1,0,1,0,1,0,1,1
GSM924034,0,0,1,0,1,0,1,1
GSM924035,0,1,1,0,1,0,1,0
GSM924036,1,1,1,1,1,0,1,0
GSM924037,0,1,1,0,1,0,0,0
GSM924038,0,0,0,1,1,0,1,0
GSM924039,1,0,0,1,1,0,1,1
GSM924040,0,0,0,0,1,0,0,1
GSM924041,0,0,0,0,1,0,0,1
GSM924042,0,1,0,0,1,0,0,0
GSM924043,1,0,0,0,1,0,0,0
GSM924044,0,0,0,0,1,0,0,1
GSM924045,1,1,0,0,1,0,0,0
GSM924046,1,0,0,0,1,0,0,1
GSM924047,0,1,1,0,1,0,0,0
GSM924048,0,1,0,0,1,0,0,0
GSM924049,0,0,1,0,1,0,0,1
GSM924050,1,0,0,1,1,0,1,1
GSM924051,1,1,0,1,1,0,0,0
GSM924052,1,0,1,1,1,0,1,1
GSM924053,0,1,0,0,1,0,0,0
GSM924054,1,0,1,1,1,0,1,0
GSM924055,0,1,1,0,1,0,0,0
GSM924056,1,1,0,0,1,0,0,0
GSM924057,0,1,0,0,1,0,1,0
GSM924058,0,1,0,0,1,0,0,0
GSM924059,0,1,0,0,1,0,1,0
GSM924060,0,1,1,0,1,0,0,0
GSM924061,1,1,1,1,1,0,0,0
GSM924062,1,0,1,0,1,0,0,1
GSM924063,0,1,1,0,1,0,0,1
GSM924064,1,1,1,0,1,0,1,0
GSM924065,0,1,1,0,1,0,1,0
GSM924066,1,1,0,1,1,0,0,0
GSM924067,1,1,0,0,1,0,0,0
GSM924068,1,0,1,0,1,0,0,1
GSM924069,1,0,0,0,1,0,1,0
GSM924070,1,1,1,1,1,0,1,0
GSM924071,0,1,0,0,1,0,0,0
GSM924072,1,0,0,0,1,0,0,1
GSM924073,1,0,0,1,1,0,0,1
GSM924074,0,1,0,0,1,0,0,1
GSM924075,1,0,1,0,1,0,1,1
GSM924076,0,1,1,0,1,0,0,0
GSM924077,1,0,1,1,1,0,1,1
GSM924078,0,1,1,0,1,0,0,0
GSM924079,0,0,1,0,1,0,0,0
GSM924080,1,0,1,0,1,0,0,1
GSM924081,0,1,0,0,1,0,1,0
GSM924082,0,1,0,0,1,0,0,1
GSM924083,0,0,0,0,1,0,1,1
GSM924084,0,0,0,0,1,0,1,0
GSM924085,0,1,1,0,1,0,0,1
GSM924086,1,0,0,0,1,0,1,0
GSM924087,0,1,1,0,1,0,1,0
GSM924088,1,0,1,1,1,0,1,0
GSM924089,1,0,1,1,1,0,1,1
GSM924090,1,0,0,1,1,0,1,1
GSM924091,0,0,1,0,1,0,1,0
GSM924092,1,0,1,0,1,0,1,1
GSM924093,0,1,1,0,1,0,1,0
GSM924094,0,0,0,0,1,0,0,1
GSM924095,0,1,0,1,1,0,0,0
GSM924096,0,0,0,0,1,0,0,1
GSM924097,1,1,1,0,1,0,0,0
GSM924098,0,1,0,0,1,0,1,0
GSM924099,0,1,0,0,1,0,0,0
GSM924100,0,1,0,0,1,0,1,0
GSM924101,1,0,0,1,1,0,1,1
GSM924102,0,1,1,0,1,0,1,0
GSM924103,0,1,1,0,1,0,1,0
GSM924104,1,1,1,1,1,0,1,0
GSM924105,0,1,0,0,1,0,0,0
GSM924106,1,0,0,1,1,0,1,1
GSM924107,1,0,0,1,1,0,1,1
GSM924108,0,0,0,0,1,0,1,1
GSM924109,0,1,0,0,1,0,1,1
GSM924110,1,0,1,1,1,0,1,1
GSM924111,1,0,0,0,1,0,1,1
GSM924112,0,0,1,1,1,0,1,1
GSM924113,0,1,0,0,1,0,0,0
GSM924114,0,1,0,0,1,0,1,0
GSM924115,1,1,0,0,1,0,0,1
GSM924116,0,0,1,0,1,0,0,0
GSM924117,0,1,0,0,1,0,1,0
GSM924118,1,0,1,1,1,0,1,1
GSM924119,0,1,0,0,1,0,1,0
GSM924120,1,0,0,1,1,0,1,1
GSM924121,1,1,1,0,1,0,0,1
GSM924122,0,0,1,0,1,0,1,1
GSM924123,1,0,0,1,1,0,1,0
GSM924124,0,1,0,0,1,0,1,0
GSM924125,0,1,0,0,1,0,0,0
GSM924126,0,1,0,0,1,0,1,0
GSM924127,0,1,0,0,1,0,0,0
GSM924128,0,1,0,0,1,0,1,0
GSM924129,0,1,1,0,1,0,1,0
GSM924130,0,0,1,0,1,0,1,0
GSM924131,0,0,0,0,1,0,0,1
GSM924132,1,0,1,0,1,0,1,1
GSM924133,1,0,1,0,1,0,1,1
GSM924134,1,0,1,0,1,0,0,1
GSM924135,0,1,1,0,1,0,0,0
GSM924136,1,1,0,0,1,0,0,1
GSM924137,1,1,1,0,1,0,1,0
GSM924138,1,0,1,1,1,0,1,0
GSM924139,1,1,1,0,1,0,0,0
GSM924140,0,1,1,0,1,0,0,0
GSM924141,1,1,0,0,1,0,1,0
GSM924142,1,0,1,0,1,0,0,1
GSM924143,1,0,0,1,1,0,0,1
GSM924144,1,1,0,1,1,0,0,1
GSM924145,1,0,0,1,1,0,1,1
GSM924146,1,0,1,0,1,0,1,1
GSM924147,1,1,0,1,1,0,1,0
GSM924148,1,0,1,1,1,0,1,1
GSM924149,1,1,1,1,1,0,1,0
GSM924150,1,1,1,1,1,0,0,0
GSM924151,1,0,0,1,1,0,1,1
GSM924152,1,0,1,1,1,0,1,0
GSM924153,1,0,1,1,1,0,1,1
GSM924154,1,0,1,1,1,0,1,1
GSM924155,1,1,1,0,1,0,1,0
GSM924156,0,1,0,0,1,0,0,0
GSM924157,0,0,1,0,1,0,0,1
