,Marcucci,LSC07,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM924018,0,0,1,0,0,1,0,1
GSM924019,1,1,1,1,0,1,1,0
GSM924020,0,1,1,1,0,1,1,1
GSM924021,0,1,0,1,0,1,1,0
GSM924022,0,1,1,0,0,1,0,0
GSM924023,0,1,0,1,0,1,1,0
GSM924024,0,0,1,1,0,1,1,1
GSM924025,0,0,0,1,0,1,1,1
GSM924026,1,0,1,1,0,1,1,1
GSM924027,0,1,0,0,0,1,0,0
GSM924028,1,0,1,1,0,1,0,1
GSM924029,1,1,1,1,0,1,1,1
GSM924030,1,0,1,1,0,1,1,1
GSM924031,1,0,0,1,0,1,1,1
GSM924032,0,0,0,1,0,1,0,0
GSM924033,0,1,0,1,0,1,0,0
GSM924034,1,1,0,1,0,1,0,0
GSM924035,1,0,0,1,0,1,0,1
GSM924036,0,0,0,0,0,1,0,1
GSM924037,1,0,0,1,0,1,1,1
GSM924038,1,1,1,0,0,1,0,1
GSM924039,0,1,1,0,0,1,0,0
GSM924040,1,1,1,1,0,1,1,0
GSM924041,1,1,1,1,0,1,1,0
GSM924042,1,0,1,1,0,1,1,1
GSM924043,0,1,1,1,0,1,1,1
GSM924044,1,1,1,1,0,1,1,0
GSM924045,0,0,1,1,0,1,1,1
GSM924046,0,1,1,1,0,1,1,0
GSM924047,1,0,0,1,0,1,1,1
GSM924048,1,0,1,1,0,1,1,1
GSM924049,1,1,0,1,0,1,1,0
GSM924050,0,1,1,0,0,1,0,0
GSM924051,0,0,1,0,0,1,1,1
GSM924052,0,1,0,0,0,1,0,0
GSM924053,1,0,1,1,0,1,1,1
GSM924054,0,1,0,0,0,1,0,1
GSM924055,1,0,0,1,0,1,1,1
GSM924056,0,0,1,1,0,1,1,1
GSM924057,1,0,1,1,0,1,0,1
GSM924058,1,0,1,1,0,1,1,1
GSM924059,1,0,1,1,0,1,0,1
GSM924060,1,0,0,1,0,1,1,1
GSM924061,0,0,0,0,0,1,1,1
GSM924062,0,1,0,1,0,1,1,0
GSM924063,1,0,0,1,0,1,1,0
GSM924064,0,0,0,1,0,1,0,1
GSM924065,1,0,0,1,0,1,0,1
GSM924066,0,0,1,0,0,1,1,1
GSM924067,0,0,1,1,0,1,1,1
GSM924068,0,1,0,1,0,1,1,0
GSM924069,0,1,1,1,0,1,0,1
GSM924070,0,0,0,0,0,1,0,1
GSM924071,1,0,1,1,0,1,1,1
GSM924072,0,1,1,1,0,1,1,0
GSM924073,0,1,1,0,0,1,1,0
GSM924074,1,0,1,1,0,1,1,0
GSM924075,0,1,0,1,0,1,0,0
GSM924076,1,0,0,1,0,1,1,1
GSM924077,0,1,0,0,0,1,0,0
GSM924078,1,0,0,1,0,1,1,1
GSM924079,1,1,0,1,0,1,1,1
GSM924080,0,1,0,1,0,1,1,0
GSM924081,1,0,1,1,0,1,0,1
GSM924082,1,0,1,1,0,1,1,0
GSM924083,1,1,1,1,0,1,0,0
GSM924084,1,1,1,1,0,1,0,1
GSM924085,1,0,0,1,0,1,1,0
GSM924086,0,1,1,1,0,1,0,1
GSM924087,1,0,0,1,0,1,0,1
GSM924088,0,1,0,0,0,1,0,1
GSM924089,0,1,0,0,0,1,0,0
GSM924090,0,1,1,0,0,1,0,0
GSM924091,1,1,0,1,0,1,0,1
GSM924092,0,1,0,1,0,1,0,0
GSM924093,1,0,0,1,0,1,0,1
GSM924094,1,1,1,1,0,1,1,0
GSM924095,1,0,1,0,0,1,1,1
GSM924096,1,1,1,1,0,1,1,0
GSM924097,0,0,0,1,0,1,1,1
GSM924098,1,0,1,1,0,1,0,1
GSM924099,1,0,1,1,0,1,1,1
GSM924100,1,0,1,1,0,1,0,1
GSM924101,0,1,1,0,0,1,0,0
GSM924102,1,0,0,1,0,1,0,1
GSM924103,1,0,0,1,0,1,0,1
GSM924104,0,0,0,0,0,1,0,1
GSM924105,1,0,1,1,0,1,1,1
GSM924106,0,1,1,0,0,1,0,0
GSM924107,0,1,1,0,0,1,0,0
GSM924108,1,1,1,1,0,1,0,0
GSM924109,1,0,1,1,0,1,0,0
GSM924110,0,1,0,0,0,1,0,0
GSM924111,0,1,1,1,0,1,0,0
GSM924112,1,1,0,0,0,1,0,0
GSM924113,1,0,1,1,0,1,1,1
GSM924114,1,0,1,1,0,1,0,1
GSM924115,0,0,1,1,0,1,1,0
GSM924116,1,1,0,1,0,1,1,1
GSM924117,1,0,1,1,0,1,0,1
GSM924118,0,1,0,0,0,1,0,0
GSM924119,1,0,1,1,0,1,0,1
GSM924120,0,1,1,0,0,1,0,0
GSM924121,0,0,0,1,0,1,1,0
GSM924122,1,1,0,1,0,1,0,0
GSM924123,0,1,1,0,0,1,0,1
GSM924124,1,0,1,1,0,1,0,1
GSM924125,1,0,1,1,0,1,1,1
GSM924126,1,0,1,1,0,1,0,1
GSM924127,1,0,1,1,0,1,1,1
GSM924128,1,0,1,1,0,1,0,1
GSM924129,1,0,0,1,0,1,0,1
GSM924130,1,1,0,1,0,1,0,1
GSM924131,1,1,1,1,0,1,1,0
GSM924132,0,1,0,1,0,1,0,0
GSM924133,0,1,0,1,0,1,0,0
GSM924134,0,1,0,1,0,1,1,0
GSM924135,1,0,0,1,0,1,1,1
GSM924136,0,0,1,1,0,1,1,0
GSM924137,0,0,0,1,0,1,0,1
GSM924138,0,1,0,0,0,1,0,1
GSM924139,0,0,0,1,0,1,1,1
GSM924140,1,0,0,1,0,1,1,1
GSM924141,0,0,1,1,0,1,0,1
GSM924142,0,1,0,1,0,1,1,0
GSM924143,0,1,1,0,0,1,1,0
