,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
TCGA-AB-2803,0,0,0,1,0,0,0,0
TCGA-AB-2806,1,1,0,1,0,0,0,0
TCGA-AB-2870,1,1,0,1,0,0,0,0
TCGA-AB-2815,1,1,1,1,0,0,1,0
TCGA-AB-2872,0,0,0,1,0,0,0,0
TCGA-AB-2998,1,1,1,1,1,0,1,0
TCGA-AB-2914,0,1,0,1,0,0,0,0
TCGA-AB-2819,0,0,1,1,1,0,0,0
TCGA-AB-2875,1,1,1,1,0,0,1,0
TCGA-AB-2823,0,1,1,1,1,0,1,0
TCGA-AB-2828,0,1,0,1,0,0,0,0
TCGA-AB-3001,1,1,1,1,0,0,1,0
TCGA-AB-2905,1,1,1,1,1,0,1,0
TCGA-AB-2881,1,1,1,1,1,0,1,0
TCGA-AB-2840,0,0,0,1,0,0,0,0
TCGA-AB-2982,1,0,1,1,1,0,1,0
TCGA-AB-2886,1,0,0,1,1,0,0,0
TCGA-AB-2980,0,0,0,1,1,0,0,0
TCGA-AB-2888,0,1,0,1,0,0,0,0
TCGA-AB-2991,1,0,0,1,1,0,1,0
TCGA-AB-2889,0,0,1,1,0,0,0,0
TCGA-AB-2937,1,0,1,1,1,0,1,0
TCGA-AB-2906,1,0,1,1,1,0,0,0
TCGA-AB-2841,1,1,1,1,1,0,1,0
TCGA-AB-2942,0,0,0,1,1,0,0,0
TCGA-AB-2846,1,1,1,1,0,0,1,0
TCGA-AB-2892,0,0,0,1,1,0,0,0
TCGA-AB-3012,0,0,0,1,1,0,0,0
TCGA-AB-2994,1,1,1,1,0,0,1,0
TCGA-AB-2950,1,0,1,1,1,0,0,0
TCGA-AB-2897,1,1,1,1,1,0,0,0
TCGA-AB-2997,0,0,0,1,0,0,1,0
TCGA-AB-2954,1,0,1,1,0,0,1,0
TCGA-AB-2999,0,1,1,1,1,0,1,0
TCGA-AB-2858,0,1,1,1,0,0,1,0
TCGA-AB-3007,0,0,0,1,0,0,0,0
TCGA-AB-2957,1,1,1,1,1,0,1,0
TCGA-AB-2802,1,0,0,1,1,0,1,0
