Patient,AML_Bullinger,AML_HSCR,AML_LI24,AML_LSCR,AML_Marcucci,AML_Metzeler,AML_LSC17
GSM158711,0,0,1,1,0,0,1
GSM158712,0,0,1,0,1,0,0
GSM158713,0,1,1,1,0,1,1
GSM158714,0,0,0,0,0,0,0
GSM158715,0,0,0,0,0,0,0
GSM158716,0,0,0,1,1,0,0
GSM158717,0,0,1,0,0,0,0
GSM158718,0,1,1,1,1,1,1
GSM158719,0,0,1,0,1,0,1
GSM158720,0,0,0,0,0,0,0
GSM158721,0,1,0,0,0,0,0
GSM158722,0,0,0,1,1,0,0
GSM158723,0,0,0,0,1,0,1
GSM158724,0,1,1,1,0,1,1
GSM158725,0,0,0,0,1,0,0
GSM158726,0,1,1,1,1,1,0
GSM158727,0,0,0,1,0,0,1
GSM158728,0,0,0,0,1,0,0
GSM158729,0,0,1,0,0,0,0
GSM158730,1,1,1,1,1,0,1
GSM158731,0,1,0,0,1,0,0
GSM158732,1,1,1,0,0,0,1
GSM158733,0,1,1,0,0,0,0
GSM158734,0,1,1,1,1,1,1
GSM158735,0,0,0,0,0,0,0
GSM158736,0,0,0,0,1,0,0
GSM158737,0,1,1,1,1,0,0
GSM158738,0,0,0,0,1,0,0
GSM158739,0,1,1,0,0,0,0
GSM158740,1,1,1,1,1,0,1
GSM158741,0,0,0,0,1,0,1
GSM158742,0,1,0,1,1,0,0
GSM158743,0,1,1,1,0,1,1
GSM158744,0,0,0,1,1,0,1
GSM158745,0,1,0,1,0,0,1
GSM158746,0,1,1,0,0,0,1
GSM158747,0,0,0,1,0,0,1
GSM158748,0,1,1,1,1,0,1
GSM158749,0,0,0,0,1,0,0
GSM158750,0,0,1,1,1,0,0
GSM158751,0,0,1,0,0,0,0
GSM158752,0,1,1,1,1,0,1
GSM158753,0,1,1,1,0,0,1
GSM158754,0,1,1,1,1,0,1
GSM158755,0,1,1,1,0,1,1
GSM158756,0,1,1,1,0,0,0
GSM158757,0,1,0,1,1,0,1
GSM158758,1,0,0,0,1,0,0
GSM158759,0,1,1,1,1,0,1
GSM158760,0,0,0,0,0,0,0
GSM158761,0,1,1,1,0,0,1
GSM158762,0,0,0,0,0,0,0
GSM158763,0,1,1,1,1,1,1
GSM158764,1,0,0,0,0,0,0
GSM158765,0,1,1,0,0,0,0
GSM158766,0,0,0,1,1,0,1
GSM158767,0,1,1,0,0,0,0
GSM158768,0,1,1,1,0,1,1
GSM158769,0,1,0,1,0,0,1
GSM158770,0,1,1,1,0,1,1
GSM158771,0,1,0,0,1,0,0
GSM158772,0,0,0,0,1,0,1
