"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM158711","2","1","2","2","2","1","1"
"GSM158712","1","1","2","1","1","2","1"
"GSM158713","2","2","2","2","2","1","2"
"GSM158714","1","1","1","1","1","1","1"
"GSM158715","2","1","1","1","1","1","1"
"GSM158716","1","1","1","1","2","2","1"
"GSM158717","2","1","2","1","1","1","1"
"GSM158718","2","2","2","2","2","2","2"
"GSM158719","1","1","2","2","1","2","1"
"GSM158720","2","1","1","1","1","1","1"
"GSM158721","1","2","1","1","1","1","1"
"GSM158722","1","1","1","1","2","2","1"
"GSM158723","1","1","1","2","1","2","1"
"GSM158724","2","2","2","2","2","1","2"
"GSM158725","1","1","1","1","1","2","1"
"GSM158726","2","2","2","1","2","2","2"
"GSM158727","1","1","1","2","2","1","1"
"GSM158728","1","1","1","1","1","2","1"
"GSM158729","2","1","2","1","1","1","1"
"GSM158730","1","2","2","2","2","2","1"
"GSM158731","1","2","1","1","1","2","1"
"GSM158732","1","2","2","2","1","1","1"
"GSM158733","2","2","2","1","1","1","1"
"GSM158734","2","2","2","2","2","2","2"
"GSM158735","2","1","1","1","1","1","1"
"GSM158736","1","1","1","1","1","2","1"
"GSM158737","2","2","2","1","2","2","1"
"GSM158738","1","1","1","1","1","2","1"
"GSM158739","2","2","2","1","1","1","1"
"GSM158740","1","2","2","2","2","2","1"
"GSM158741","1","1","1","2","1","2","1"
"GSM158742","1","2","1","1","2","2","1"
"GSM158743","2","2","2","2","2","1","2"
"GSM158744","1","1","1","2","2","2","1"
"GSM158745","1","2","1","2","2","1","1"
"GSM158746","2","2","2","2","1","1","1"
"GSM158747","1","1","1","2","2","1","1"
"GSM158748","2","2","2","2","2","2","1"
"GSM158749","1","1","1","1","1","2","1"
"GSM158750","1","1","2","1","2","2","1"
"GSM158751","2","1","2","1","1","1","1"
"GSM158752","1","2","2","2","2","2","1"
"GSM158753","2","2","2","2","2","1","1"
"GSM158754","2","2","2","2","2","2","1"
"GSM158755","2","2","2","2","2","1","2"
"GSM158756","1","2","2","1","2","1","1"
"GSM158757","1","2","1","2","2","2","1"
"GSM158758","1","1","1","1","1","2","1"
"GSM158759","2","2","2","2","2","2","1"
"GSM158760","1","1","1","1","1","1","1"
"GSM158761","1","2","2","2","2","1","1"
"GSM158762","2","1","1","1","1","1","1"
"GSM158763","1","2","2","2","2","2","2"
"GSM158764","1","1","1","1","1","1","1"
"GSM158765","2","2","2","1","1","1","1"
"GSM158766","1","1","1","2","2","2","1"
"GSM158767","2","2","2","1","1","1","1"
"GSM158768","2","2","2","2","2","1","2"
"GSM158769","1","2","1","2","2","1","1"
"GSM158770","2","2","2","2","2","1","2"
"GSM158771","2","2","1","1","1","2","1"
"GSM158772","1","1","1","2","1","2","1"
"GSM158773","1","1","1","1","1","1","1"
"GSM158774","1","2","2","1","1","2","1"
"GSM158775","1","2","1","1","2","2","1"
"GSM158776","2","2","2","2","2","1","2"
"GSM158777","2","1","1","1","1","1","1"
"GSM158778","2","1","1","1","1","2","1"
"GSM158779","1","1","1","1","1","1","1"
"GSM158780","2","2","2","2","2","1","2"
"GSM158781","1","2","1","2","2","2","1"
"GSM158782","1","1","1","2","2","1","1"
"GSM158783","2","2","2","1","1","1","1"
"GSM158784","2","2","2","2","2","1","2"
"GSM158785","2","2","2","2","2","1","2"
"GSM158786","1","1","1","1","1","2","1"
"GSM158787","2","1","1","1","1","1","1"
"GSM158788","1","2","2","2","2","2","2"
"GSM158789","1","2","2","2","2","2","2"
"GSM158790","1","2","2","2","2","2","1"
"GSM158791","1","1","1","1","1","2","1"
"GSM158792","1","2","2","2","2","2","1"
"GSM158793","2","1","1","1","1","1","1"
"GSM158794","1","1","1","1","2","2","1"
"GSM158795","2","2","2","2","2","1","2"
"GSM158796","2","2","2","2","2","1","1"
"GSM158797","2","2","2","2","2","1","2"
"GSM158798","1","2","2","2","1","2","1"
"GSM158799","1","1","1","1","1","1","1"
"GSM158800","2","1","1","1","1","1","1"
"GSM158801","1","1","2","2","2","1","1"
"GSM158802","1","1","1","1","1","2","1"
"GSM158803","1","2","2","1","2","2","1"
"GSM158804","2","1","1","1","1","1","1"
"GSM158805","1","2","1","2","1","2","1"
"GSM158806","2","2","2","2","2","1","1"
"GSM158807","1","1","1","1","1","1","1"
"GSM158808","1","2","2","2","2","2","1"
"GSM158809","2","2","2","2","2","1","1"
"GSM158810","1","1","1","1","1","2","1"
"GSM158811","1","1","1","1","2","2","1"
"GSM158812","1","1","1","1","1","2","1"
"GSM158813","1","1","1","1","1","2","1"
"GSM158814","1","2","2","2","2","2","1"
"GSM158815","2","2","1","1","1","1","1"
"GSM158816","2","2","2","2","2","1","2"
"GSM158817","2","2","2","2","2","1","1"
"GSM158818","2","1","2","1","1","1","1"
"GSM158819","1","1","1","2","1","2","1"
"GSM158820","1","2","1","1","2","2","1"
"GSM158821","2","1","1","1","1","1","1"
"GSM158822","1","2","2","2","2","2","2"
"GSM158823","1","1","1","1","1","1","1"
"GSM158824","2","2","2","1","1","2","1"
"GSM158825","2","1","1","1","1","1","1"
"GSM158826","1","1","1","1","1","2","1"
"GSM158827","1","2","2","2","2","1","1"
"GSM158828","1","1","1","1","1","1","1"
"GSM158829","2","2","2","2","2","1","2"
"GSM158830","1","2","1","1","2","2","1"
"GSM158831","1","2","2","2","2","2","2"
"GSM158832","2","1","1","2","2","1","1"
"GSM158833","1","1","1","2","2","2","1"
"GSM158834","1","1","1","1","1","1","1"
"GSM158835","1","2","2","2","2","2","1"
"GSM158836","1","2","2","2","2","2","1"
"GSM158837","2","1","1","1","1","1","1"
"GSM158838","2","2","2","2","2","1","2"
"GSM158839","1","2","1","1","2","2","1"
"GSM158840","2","1","2","1","1","1","1"
"GSM158841","1","1","1","1","1","2","1"
"GSM158842","2","2","2","2","2","1","1"
"GSM158843","2","1","1","1","1","1","1"
"GSM158844","1","1","2","2","2","2","1"
"GSM158846","1","1","1","1","1","1","1"
"GSM158847","2","2","2","2","2","2","1"
"GSM158848","2","2","2","2","2","1","2"
"GSM158849","1","1","1","1","2","2","1"
"GSM158850","2","2","2","2","2","1","2"
"GSM158851","1","1","1","1","1","2","1"
"GSM158852","2","2","2","1","1","1","1"
"GSM158853","1","1","1","1","1","2","1"
"GSM158854","2","2","2","2","2","1","2"
"GSM158855","1","1","2","2","1","2","1"
"GSM158856","1","1","1","2","1","2","1"
"GSM158857","2","2","2","2","2","1","2"
"GSM158858","2","2","2","2","2","1","1"
"GSM158859","1","1","1","1","1","1","1"
"GSM158860","1","1","1","1","1","2","1"
"GSM158861","1","2","2","2","2","2","1"
"GSM158862","1","2","2","1","2","2","1"
"GSM158863","1","1","1","1","1","1","1"
"GSM158864","2","2","2","2","2","1","2"
"GSM158865","2","1","1","1","1","1","1"
"GSM158866","1","1","1","1","1","1","1"
"GSM158867","2","1","1","1","1","1","1"
"GSM158868","1","1","2","1","1","1","1"
"GSM158869","2","2","2","2","2","2","1"
"GSM158870","1","2","2","2","2","2","1"
"GSM158871","1","1","1","2","1","1","1"
"GSM158872","1","1","1","2","2","2","1"
"GSM158873","1","1","2","1","1","2","1"
"GSM158874","2","2","2","2","2","2","2"
"GSM158875","1","2","2","2","2","2","2"
"GSM158876","2","1","2","2","1","1","1"
"GSM158877","1","1","1","1","1","1","1"
"GSM158878","1","1","2","1","1","1","1"
"GSM158879","1","2","2","2","2","2","1"
"GSM158880","2","2","2","2","2","1","1"
"GSM158881","1","2","2","2","2","2","1"
"GSM158882","1","1","1","2","2","2","1"
"GSM158883","2","1","2","1","1","1","1"
"GSM158884","2","1","2","1","1","1","1"
"GSM158885","1","1","1","1","2","2","1"
"GSM158886","2","2","2","2","2","1","2"
"GSM158887","2","1","2","2","1","1","2"
"GSM158888","1","1","1","1","1","1","1"
"GSM158889","2","2","1","2","2","1","1"
"GSM158890","1","1","1","2","2","1","1"
