"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM158711","1","0","1","1","1","0","0"
"GSM158712","0","0","1","0","0","1","0"
"GSM158713","1","1","1","1","1","0","1"
"GSM158714","0","0","0","0","0","0","0"
"GSM158715","1","0","0","0","0","0","0"
"GSM158716","0","0","0","0","1","1","0"
"GSM158717","1","0","1","0","0","0","0"
"GSM158718","1","1","1","1","1","1","1"
"GSM158719","0","0","1","1","0","1","0"
"GSM158720","1","0","0","0","0","0","0"
"GSM158721","0","1","0","0","0","0","0"
"GSM158722","0","0","0","0","1","1","0"
"GSM158723","0","0","0","1","0","1","0"
"GSM158724","1","1","1","1","1","0","1"
"GSM158725","0","0","0","0","0","1","0"
"GSM158726","1","1","1","0","1","1","1"
"GSM158727","0","0","0","1","1","0","0"
"GSM158728","0","0","0","0","0","1","0"
"GSM158729","1","0","1","0","0","0","0"
"GSM158730","0","1","1","1","1","1","0"
"GSM158731","0","1","0","0","0","1","0"
"GSM158732","0","1","1","1","0","0","0"
"GSM158733","1","1","1","0","0","0","0"
"GSM158734","1","1","1","1","1","1","1"
"GSM158735","1","0","0","0","0","0","0"
"GSM158736","0","0","0","0","0","1","0"
"GSM158737","1","1","1","0","1","1","0"
"GSM158738","0","0","0","0","0","1","0"
"GSM158739","1","1","1","0","0","0","0"
"GSM158740","0","1","1","1","1","1","0"
"GSM158741","0","0","0","1","0","1","0"
"GSM158742","0","1","0","0","1","1","0"
"GSM158743","1","1","1","1","1","0","1"
"GSM158744","0","0","0","1","1","1","0"
"GSM158745","0","1","0","1","1","0","0"
"GSM158746","1","1","1","1","0","0","0"
"GSM158747","0","0","0","1","1","0","0"
"GSM158748","1","1","1","1","1","1","0"
"GSM158749","0","0","0","0","0","1","0"
"GSM158750","0","0","1","0","1","1","0"
"GSM158751","1","0","1","0","0","0","0"
"GSM158752","0","1","1","1","1","1","0"
"GSM158753","1","1","1","1","1","0","0"
"GSM158754","1","1","1","1","1","1","0"
"GSM158755","1","1","1","1","1","0","1"
"GSM158756","0","1","1","0","1","0","0"
"GSM158757","0","1","0","1","1","1","0"
"GSM158758","0","0","0","0","0","1","0"
"GSM158759","1","1","1","1","1","1","0"
"GSM158760","0","0","0","0","0","0","0"
"GSM158761","0","1","1","1","1","0","0"
"GSM158762","1","0","0","0","0","0","0"
"GSM158763","0","1","1","1","1","1","1"
"GSM158764","0","0","0","0","0","0","0"
"GSM158765","1","1","1","0","0","0","0"
"GSM158766","0","0","0","1","1","1","0"
"GSM158767","1","1","1","0","0","0","0"
"GSM158768","1","1","1","1","1","0","1"
"GSM158769","0","1","0","1","1","0","0"
"GSM158770","1","1","1","1","1","0","1"
"GSM158771","1","1","0","0","0","1","0"
"GSM158772","0","0","0","1","0","1","0"
"GSM158773","0","0","0","0","0","0","0"
"GSM158774","0","1","1","0","0","1","0"
"GSM158775","0","1","0","0","1","1","0"
"GSM158776","1","1","1","1","1","0","1"
"GSM158777","1","0","0","0","0","0","0"
"GSM158778","1","0","0","0","0","1","0"
"GSM158779","0","0","0","0","0","0","0"
"GSM158780","1","1","1","1","1","0","1"
"GSM158781","0","1","0","1","1","1","0"
"GSM158782","0","0","0","1","1","0","0"
"GSM158783","1","1","1","0","0","0","0"
"GSM158784","1","1","1","1","1","0","1"
"GSM158785","1","1","1","1","1","0","1"
"GSM158786","0","0","0","0","0","1","0"
"GSM158787","1","0","0","0","0","0","0"
"GSM158788","0","1","1","1","1","1","1"
"GSM158789","0","1","1","1","1","1","1"
"GSM158790","0","1","1","1","1","1","0"
"GSM158791","0","0","0","0","0","1","0"
"GSM158792","0","1","1","1","1","1","0"
"GSM158793","1","0","0","0","0","0","0"
"GSM158794","0","0","0","0","1","1","0"
"GSM158795","1","1","1","1","1","0","1"
"GSM158796","1","1","1","1","1","0","0"
"GSM158797","1","1","1","1","1","0","1"
"GSM158798","0","1","1","1","0","1","0"
"GSM158799","0","0","0","0","0","0","0"
"GSM158800","1","0","0","0","0","0","0"
"GSM158801","0","0","1","1","1","0","0"
"GSM158802","0","0","0","0","0","1","0"
"GSM158803","0","1","1","0","1","1","0"
"GSM158804","1","0","0","0","0","0","0"
"GSM158805","0","1","0","1","0","1","0"
"GSM158806","1","1","1","1","1","0","0"
"GSM158807","0","0","0","0","0","0","0"
"GSM158808","0","1","1","1","1","1","0"
"GSM158809","1","1","1","1","1","0","0"
"GSM158810","0","0","0","0","0","1","0"
"GSM158811","0","0","0","0","1","1","0"
"GSM158812","0","0","0","0","0","1","0"
"GSM158813","0","0","0","0","0","1","0"
"GSM158814","0","1","1","1","1","1","0"
"GSM158815","1","1","0","0","0","0","0"
"GSM158816","1","1","1","1","1","0","1"
"GSM158817","1","1","1","1","1","0","0"
"GSM158818","1","0","1","0","0","0","0"
"GSM158819","0","0","0","1","0","1","0"
"GSM158820","0","1","0","0","1","1","0"
"GSM158821","1","0","0","0","0","0","0"
"GSM158822","0","1","1","1","1","1","1"
"GSM158823","0","0","0","0","0","0","0"
"GSM158824","1","1","1","0","0","1","0"
"GSM158825","1","0","0","0","0","0","0"
"GSM158826","0","0","0","0","0","1","0"
"GSM158827","0","1","1","1","1","0","0"
"GSM158828","0","0","0","0","0","0","0"
"GSM158829","1","1","1","1","1","0","1"
"GSM158830","0","1","0","0","1","1","0"
"GSM158831","0","1","1","1","1","1","1"
"GSM158832","1","0","0","1","1","0","0"
"GSM158833","0","0","0","1","1","1","0"
"GSM158834","0","0","0","0","0","0","0"
"GSM158835","0","1","1","1","1","1","0"
"GSM158836","0","1","1","1","1","1","0"
"GSM158837","1","0","0","0","0","0","0"
"GSM158838","1","1","1","1","1","0","1"
"GSM158839","0","1","0","0","1","1","0"
"GSM158840","1","0","1","0","0","0","0"
"GSM158841","0","0","0","0","0","1","0"
"GSM158842","1","1","1","1","1","0","0"
"GSM158843","1","0","0","0","0","0","0"
"GSM158844","0","0","1","1","1","1","0"
"GSM158846","0","0","0","0","0","0","0"
"GSM158847","1","1","1","1","1","1","0"
"GSM158848","1","1","1","1","1","0","1"
"GSM158849","0","0","0","0","1","1","0"
"GSM158850","1","1","1","1","1","0","1"
"GSM158851","0","0","0","0","0","1","0"
"GSM158852","1","1","1","0","0","0","0"
"GSM158853","0","0","0","0","0","1","0"
"GSM158854","1","1","1","1","1","0","1"
"GSM158855","0","0","1","1","0","1","0"
"GSM158856","0","0","0","1","0","1","0"
"GSM158857","1","1","1","1","1","0","1"
"GSM158858","1","1","1","1","1","0","0"
"GSM158859","0","0","0","0","0","0","0"
"GSM158860","0","0","0","0","0","1","0"
"GSM158861","0","1","1","1","1","1","0"
"GSM158862","0","1","1","0","1","1","0"
"GSM158863","0","0","0","0","0","0","0"
"GSM158864","1","1","1","1","1","0","1"
"GSM158865","1","0","0","0","0","0","0"
"GSM158866","0","0","0","0","0","0","0"
"GSM158867","1","0","0","0","0","0","0"
"GSM158868","0","0","1","0","0","0","0"
"GSM158869","1","1","1","1","1","1","0"
"GSM158870","0","1","1","1","1","1","0"
"GSM158871","0","0","0","1","0","0","0"
"GSM158872","0","0","0","1","1","1","0"
"GSM158873","0","0","1","0","0","1","0"
"GSM158874","1","1","1","1","1","1","1"
"GSM158875","0","1","1","1","1","1","1"
"GSM158876","1","0","1","1","0","0","0"
"GSM158877","0","0","0","0","0","0","0"
"GSM158878","0","0","1","0","0","0","0"
"GSM158879","0","1","1","1","1","1","0"
"GSM158880","1","1","1","1","1","0","0"
"GSM158881","0","1","1","1","1","1","0"
"GSM158882","0","0","0","1","1","1","0"
"GSM158883","1","0","1","0","0","0","0"
"GSM158884","1","0","1","0","0","0","0"
"GSM158885","0","0","0","0","1","1","0"
"GSM158886","1","1","1","1","1","0","1"
"GSM158887","1","0","1","1","0","0","1"
"GSM158888","0","0","0","0","0","0","0"
"GSM158889","1","1","0","1","1","0","0"
"GSM158890","0","0","0","1","1","0","0"
"GSM158891","1","0","1","1","0","0","0"
"GSM158892","1","1","1","1","1","0","1"
"GSM158893","1","1","1","0","0","0","0"
"GSM158894","0","1","0","1","1","1","0"
"GSM158895","1","0","1","0","0","1","0"
"GSM158896","1","1","0","0","0","0","0"
"GSM158897","0","0","0","1","0","0","0"
"GSM158898","1","0","0","0","0","0","0"
"GSM158899","0","1","0","0","0","1","0"
"GSM158900","0","1","0","0","1","1","0"
"GSM158901","0","1","1","1","1","1","0"
"GSM158902","0","0","0","1","0","1","0"
"GSM158903","0","0","0","0","0","0","0"
"GSM158904","0","1","0","0","1","1","0"
"GSM158905","0","1","0","1","1","1","0"
"GSM158906","0","0","1","1","1","1","0"
"GSM158907","0","0","0","1","0","1","0"
"GSM158908","1","1","1","1","1","0","1"
"GSM158909","1","0","0","0","0","0","0"
"GSM158910","0","1","1","1","1","1","1"
"GSM158911","0","0","1","0","0","0","0"
"GSM158912","0","0","0","0","0","0","0"
"GSM158913","1","1","1","1","1","1","0"
"GSM158914","0","0","0","0","0","0","0"
"GSM158915","0","1","0","0","1","1","0"
"GSM158916","1","0","0","0","0","0","0"
"GSM158917","1","1","1","0","0","0","0"
"GSM158918","1","1","0","0","1","1","0"
"GSM158919","0","1","1","1","1","1","0"
"GSM158920","0","0","0","0","0","0","0"
"GSM158921","0","0","0","0","1","0","0"
"GSM158922","0","1","1","1","1","1","0"
"GSM158923","0","0","0","0","1","1","0"
"GSM158924","1","0","0","0","0","0","0"
"GSM158925","0","0","0","0","1","1","0"
"GSM158926","0","1","0","1","1","1","0"
"GSM158927","0","0","0","0","0","1","0"
"GSM158928","0","0","0","0","0","1","0"
"GSM158929","1","1","1","1","1","0","1"
"GSM158930","0","1","1","1","1","0","1"
"GSM158931","0","1","1","1","1","1","0"
"GSM158932","1","0","1","1","0","0","0"
"GSM158933","1","1","1","1","1","0","1"
"GSM158934","0","1","1","1","1","1","0"
"GSM158935","0","0","1","1","1","1","0"
"GSM158936","0","1","0","0","0","1","0"
"GSM158937","1","0","0","0","0","0","0"
"GSM158938","1","0","0","0","0","1","0"
"GSM158939","0","1","1","1","1","1","0"
"GSM158940","1","0","1","1","0","0","0"
"GSM158941","1","1","1","1","1","1","1"
"GSM158942","1","1","0","0","0","0","0"
"GSM158943","0","0","0","0","0","0","0"
"GSM158944","0","1","0","1","1","0","0"
"GSM158945","0","1","0","0","1","1","0"
"GSM158946","1","0","1","0","0","0","0"
"GSM158947","0","1","0","1","0","1","0"
"GSM158948","0","0","0","0","0","0","0"
"GSM158949","1","1","1","1","1","1","0"
"GSM158950","1","1","1","1","1","0","0"
"GSM158951","0","0","0","0","0","1","0"
"GSM158952","1","1","1","1","1","0","0"
"GSM158953","0","0","0","1","1","1","0"
"GSM158954","1","0","0","0","0","0","0"
"GSM158955","1","0","0","0","0","0","0"
"GSM158956","1","0","0","0","0","0","0"
"GSM158957","1","0","0","0","0","0","0"
"GSM158958","1","1","1","1","1","0","1"
"GSM158959","0","0","0","0","0","1","0"
"GSM158960","1","1","1","1","0","0","0"
"GSM158961","1","1","1","1","1","0","1"
"GSM158962","1","1","1","1","1","1","0"
"GSM158963","1","1","1","1","1","1","0"
"GSM158964","0","0","0","0","0","0","0"
"GSM158965","0","0","0","1","1","0","0"
"GSM158966","0","0","1","1","1","1","0"
"GSM158967","1","1","1","1","1","0","1"
"GSM158968","0","1","1","1","1","1","0"
"GSM158969","1","0","0","0","1","1","0"
"GSM158970","0","1","0","0","1","1","0"
"GSM158971","1","1","0","1","0","0","0"
"GSM158972","0","0","0","0","0","0","0"
"GSM158973","0","1","1","1","0","1","0"
"GSM158974","1","0","0","0","0","0","0"
"GSM158975","0","0","0","0","1","1","0"
"GSM158976","1","0","0","0","0","0","0"
"GSM158977","0","1","1","1","1","1","1"
"GSM158978","0","0","0","0","0","0","0"
"GSM158979","0","1","1","1","1","1","0"
"GSM158980","1","0","1","0","1","1","0"
"GSM158981","1","0","0","0","0","0","0"
"GSM158982","0","1","1","1","1","1","0"
"GSM158983","0","1","1","1","1","1","0"
"GSM158984","0","0","0","0","0","0","0"
"GSM158985","0","0","0","0","0","0","0"
"GSM158986","1","0","1","0","0","0","0"
"GSM158987","1","0","0","0","0","0","0"
"GSM158988","0","0","0","1","1","1","0"
"GSM158990","1","1","1","1","1","0","1"
"GSM158991","0","0","0","0","1","1","0"
"GSM158992","1","0","0","0","0","0","0"
"GSM158993","0","1","1","0","1","1","0"
"GSM158994","0","0","0","0","0","1","0"
"GSM158995","0","0","0","1","1","1","1"
"GSM158996","1","0","1","1","1","0","1"
"GSM158997","1","1","1","1","1","1","0"
"GSM158998","0","0","0","0","0","1","0"
"GSM158999","0","1","0","0","1","1","0"
"GSM159000","0","0","0","0","0","1","0"
"GSM159001","1","0","0","0","0","0","0"
"GSM159002","1","0","1","1","1","0","1"
"GSM159003","0","1","1","1","1","0","1"
